TimePeriod,BoroID,Annual mean mcg/m3,Summer mean mcg/m3,Winter mean mcg/m3,Annual mean mcg/m3_log,Summer mean mcg/m3_log,Winter mean mcg/m3_log,Borough_Brooklyn,Borough_Manhattan,Borough_Queens,Borough_Staten Island
2024-01-01,3,7.7,9.6,7.2,2.163323025660538,2.3608540011180215,2.1041341542702074,0.0,1.0,0.0,0.0
2024-01-01,1,6.4,8.2,6.1,2.0014800002101243,2.2192034840549946,1.9600947840472698,0.0,0.0,0.0,0.0
2024-01-01,5,5.9,7.3,5.9,1.9315214116032138,2.1162555148025524,1.9315214116032138,0.0,0.0,0.0,1.0
2024-01-01,4,5.9,7.5,5.6,1.9315214116032138,2.1400661634962708,1.8870696490323797,0.0,0.0,1.0,0.0
2024-01-01,2,6.4,8.1,6.3,2.0014800002101243,2.2082744135228043,1.9878743481543455,1.0,0.0,0.0,0.0
2023-01-01,3,7.3,9.3,7.2,2.1162555148025524,2.33214389523559,2.1041341542702074,0.0,1.0,0.0,0.0
2023-01-01,1,6.9,9.3,6.6,2.066862759472976,2.33214389523559,2.028148247292285,0.0,0.0,0.0,0.0
2023-01-01,2,6.7,8.8,6.3,2.0412203288596382,2.2823823856765264,1.9878743481543455,1.0,0.0,0.0,0.0
2023-01-01,4,6.6,8.8,6.1,2.028148247292285,2.2823823856765264,1.9600947840472698,0.0,0.0,1.0,0.0
2023-01-01,5,6.2,8.4,5.5,1.9740810260220096,2.2407096892759584,1.8718021769015913,0.0,0.0,0.0,1.0
2022-01-01,4,5.7,6.4,6.7,1.9021075263969205,2.0014800002101243,2.0412203288596382,0.0,0.0,1.0,0.0
2022-01-01,5,5.2,5.8,6.1,1.824549292051046,1.916922612182061,1.9600947840472698,0.0,0.0,0.0,1.0
2022-01-01,1,6.1,7.1,7.3,1.9600947840472698,2.0918640616783932,2.1162555148025524,0.0,0.0,0.0,0.0
2022-01-01,2,5.8,6.3,6.9,1.916922612182061,1.9878743481543455,2.066862759472976,1.0,0.0,0.0,0.0
2022-01-01,3,7.0,7.5,7.9,2.0794415416798357,2.1400661634962708,2.186051276738094,0.0,1.0,0.0,0.0
2021-01-01,3,7.4,9.4,7.5,2.128231705849268,2.341805806147327,2.1400661634962708,0.0,1.0,0.0,0.0
2021-01-01,2,6.6,8.5,6.9,2.028148247292285,2.2512917986064953,2.066862759472976,1.0,0.0,0.0,0.0
2021-01-01,4,6.5,8.1,6.7,2.0149030205422647,2.2082744135228043,2.0412203288596382,0.0,0.0,1.0,0.0
2021-01-01,1,6.6,8.6,6.6,2.028148247292285,2.2617630984737906,2.028148247292285,0.0,0.0,0.0,0.0
2021-01-01,5,6.2,7.9,6.5,1.9740810260220096,2.186051276738094,2.0149030205422647,0.0,0.0,0.0,1.0
2020-01-01,1,6.1,7.2,7.0,1.9600947840472698,2.1041341542702074,2.0794415416798357,0.0,0.0,0.0,0.0
2020-01-01,5,5.5,6.6,6.7,1.8718021769015913,2.028148247292285,2.0412203288596382,0.0,0.0,0.0,1.0
2020-01-01,2,6.1,6.9,7.6,1.9600947840472698,2.066862759472976,2.151762203259462,1.0,0.0,0.0,0.0
2020-01-01,4,6.1,6.9,7.6,1.9600947840472698,2.066862759472976,2.151762203259462,0.0,0.0,1.0,0.0
2020-01-01,3,7.2,7.8,9.1,2.1041341542702074,2.174751721484161,2.312535423847214,0.0,1.0,0.0,0.0
2019-01-01,3,8.3,9.4,9.3,2.2300144001592104,2.341805806147327,2.33214389523559,0.0,1.0,0.0,0.0
2019-01-01,1,6.9,8.0,7.5,2.066862759472976,2.1972245773362196,2.1400661634962708,0.0,0.0,0.0,0.0
2019-01-01,2,6.7,8.2,7.3,2.0412203288596382,2.2192034840549946,2.1162555148025524,1.0,0.0,0.0,0.0
2019-01-01,4,6.5,7.7,7.1,2.0149030205422647,2.163323025660538,2.0918640616783932,0.0,0.0,1.0,0.0
2019-01-01,5,5.9,7.4,6.5,1.9315214116032138,2.128231705849268,2.0149030205422647,0.0,0.0,0.0,1.0
2018-01-01,4,6.8,8.3,7.9,2.0541237336955462,2.2300144001592104,2.186051276738094,0.0,0.0,1.0,0.0
2018-01-01,5,6.4,7.5,7.8,2.0014800002101243,2.1400661634962708,2.174751721484161,0.0,0.0,0.0,1.0
2018-01-01,1,7.2,8.6,8.3,2.1041341542702074,2.2617630984737906,2.2300144001592104,0.0,0.0,0.0,0.0
2018-01-01,2,7.2,8.4,8.5,2.1041341542702074,2.2407096892759584,2.2512917986064953,1.0,0.0,0.0,0.0
2018-01-01,3,8.5,9.7,9.6,2.2512917986064953,2.3702437414678603,2.3608540011180215,0.0,1.0,0.0,0.0
2017-01-01,3,8.7,10.4,9.0,2.272125885509337,2.4336133554004498,2.302585092994046,0.0,1.0,0.0,0.0
2017-01-01,1,7.7,9.6,8.3,2.163323025660538,2.3608540011180215,2.2300144001592104,0.0,0.0,0.0,0.0
2017-01-01,4,7.2,8.8,8.0,2.1041341542702074,2.2823823856765264,2.1972245773362196,0.0,0.0,1.0,0.0
2017-01-01,2,7.5,9.1,7.9,2.1400661634962708,2.312535423847214,2.186051276738094,1.0,0.0,0.0,0.0
2017-01-01,5,6.8,8.1,7.1,2.0541237336955462,2.2082744135228043,2.0918640616783932,0.0,0.0,0.0,1.0
2016-01-01,4,7.2,7.8,7.6,2.1041341542702074,2.174751721484161,2.151762203259462,0.0,0.0,1.0,0.0
2016-01-01,5,6.8,7.8,7.5,2.0541237336955462,2.174751721484161,2.1400661634962708,0.0,0.0,0.0,1.0
2016-01-01,3,9.0,9.5,9.4,2.302585092994046,2.3513752571634776,2.341805806147327,0.0,1.0,0.0,0.0
2016-01-01,2,7.8,8.3,8.4,2.174751721484161,2.2300144001592104,2.2407096892759584,1.0,0.0,0.0,0.0
2016-01-01,1,7.8,8.3,8.4,2.174751721484161,2.2300144001592104,2.2407096892759584,0.0,0.0,0.0,0.0
2015-01-01,3,10.2,10.8,10.9,2.4159137783010487,2.468099531471619,2.4765384001174837,0.0,1.0,0.0,0.0
2015-01-01,1,9.2,9.9,10.2,2.322387720290225,2.388762789235098,2.4159137783010487,0.0,0.0,0.0,0.0
2015-01-01,2,8.7,9.5,9.0,2.272125885509337,2.3513752571634776,2.302585092994046,1.0,0.0,0.0,0.0
2015-01-01,4,8.3,9.2,8.9,2.2300144001592104,2.322387720290225,2.2925347571405443,0.0,0.0,1.0,0.0
2015-01-01,5,7.7,8.7,8.4,2.163323025660538,2.272125885509337,2.2407096892759584,0.0,0.0,0.0,1.0
2014-01-01,4,8.6,8.2,11.2,2.2617630984737906,2.2192034840549946,2.501435951739211,0.0,0.0,1.0,0.0
2014-01-01,5,8.4,7.8,11.8,2.2407096892759584,2.174751721484161,2.5494451709255714,0.0,0.0,0.0,1.0
2014-01-01,1,9.3,8.8,12.5,2.33214389523559,2.2823823856765264,2.6026896854443837,0.0,0.0,0.0,0.0
2014-01-01,3,10.8,10.3,14.1,2.468099531471619,2.424802725718295,2.714694743820879,0.0,1.0,0.0,0.0
2014-01-01,2,9.1,8.8,11.9,2.312535423847214,2.2823823856765264,2.5572273113676265,1.0,0.0,0.0,0.0
2013-01-01,3,10.7,11.8,12.8,2.4595888418037104,2.5494451709255714,2.624668592163159,0.0,1.0,0.0,0.0
2013-01-01,1,9.1,10.4,11.2,2.312535423847214,2.4336133554004498,2.501435951739211,0.0,0.0,0.0,0.0
2013-01-01,2,8.7,10.3,10.3,2.272125885509337,2.424802725718295,2.424802725718295,1.0,0.0,0.0,0.0
2013-01-01,4,8.4,10.1,9.9,2.2407096892759584,2.4069451083182885,2.388762789235098,0.0,0.0,1.0,0.0
2013-01-01,5,8.0,9.3,9.7,2.1972245773362196,2.33214389523559,2.3702437414678603,0.0,0.0,0.0,1.0
2012-01-01,4,8.6,10.1,8.8,2.2617630984737906,2.4069451083182885,2.2823823856765264,0.0,0.0,1.0,0.0
2012-01-01,5,8.3,9.9,8.4,2.2300144001592104,2.388762789235098,2.2407096892759584,0.0,0.0,0.0,1.0
2012-01-01,1,9.5,10.5,9.9,2.3513752571634776,2.4423470353692043,2.388762789235098,0.0,0.0,0.0,0.0
2012-01-01,2,9.0,10.4,9.2,2.302585092994046,2.4336133554004498,2.322387720290225,1.0,0.0,0.0,0.0
2012-01-01,3,10.9,11.8,11.3,2.4765384001174837,2.5494451709255714,2.509599262378372,0.0,1.0,0.0,0.0
2011-01-01,3,11.9,12.9,14.8,2.5572273113676265,2.631888840136646,2.760009940032921,0.0,1.0,0.0,0.0
2011-01-01,1,10.8,11.7,13.8,2.468099531471619,2.5416019934645457,2.6946271807700692,0.0,0.0,0.0,0.0
2011-01-01,2,10.2,11.6,12.6,2.4159137783010487,2.533696813957432,2.6100697927420065,1.0,0.0,0.0,0.0
2011-01-01,4,9.8,11.2,12.1,2.379546134130174,2.501435951739211,2.5726122302071057,0.0,0.0,1.0,0.0
2011-01-01,5,9.4,11.1,11.7,2.341805806147327,2.4932054526026954,2.5416019934645457,0.0,0.0,0.0,1.0
2010-01-01,4,9.2,11.5,9.4,2.322387720290225,2.5257286443082556,2.341805806147327,0.0,0.0,1.0,0.0
2010-01-01,5,8.8,11.4,9.1,2.2823823856765264,2.517696472610991,2.312535423847214,0.0,0.0,0.0,1.0
2010-01-01,1,10.1,12.1,10.9,2.4069451083182885,2.5726122302071057,2.4765384001174837,0.0,0.0,0.0,0.0
2010-01-01,2,9.7,12.0,10.0,2.3702437414678603,2.5649493574615367,2.3978952727983707,1.0,0.0,0.0,0.0
2010-01-01,3,11.6,13.4,12.0,2.533696813957432,2.667228206581955,2.5649493574615367,0.0,1.0,0.0,0.0
2009-01-01,3,12.6,12.6,15.3,2.6100697927420065,2.6100697927420065,2.791165107812717,0.0,1.0,0.0,0.0
2009-01-01,1,11.0,10.7,14.1,2.4849066497880004,2.4595888418037104,2.714694743820879,0.0,0.0,0.0,0.0
2009-01-01,2,10.5,10.9,12.9,2.4423470353692043,2.4765384001174837,2.631888840136646,1.0,0.0,0.0,0.0
2009-01-01,4,10.0,10.3,12.6,2.3978952727983707,2.424802725718295,2.6100697927420065,0.0,0.0,1.0,0.0
2009-01-01,5,9.8,10.5,11.8,2.379546134130174,2.4423470353692043,2.5494451709255714,0.0,0.0,0.0,1.0
